LON,LAT,EDO,CLAVE,ESTACION,01/04/18
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",0
-102.466944,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",2.6
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",5.3
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",0
-102.197222,22.007222,AGS,CHOAG,"CaÒada Honda, Ags.",10.5
-102.189167,21.826667,AGS,CLVAG,"Calvillo, Ags.",20
-102,21.896389,AGS,CNSAG,"Los Conos, Ags.",106.3
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",4.1
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",5.8
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",4.8
-102.371667,21.78,AGS,NGRAG,"El Niagara, Ags.",0
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",28
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",0
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",2.6
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",31
-102.291944,22.1625,AGS,PBLAG,"PabellÛn, Ags.",6.9
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",3.5
-102.133333,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",18.5
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",7.2
-102.108889,21.885,AGS,SNVAG,"Sandovales, Ags.",10.5
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",16
-102.0675,22.097778,AGS,VJZAG,"Villa Ju·rez, Ags.",63.7
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",0
-114.719167,29.727222,BC,CATAVINA,"CataviÒa, B.C. SMN*",0
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0
-116.584444,32.243056,BC,CSRBN,"Carmen Serd·n, B.C.",0
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",0.2
-115.931389,30.517222,BC,ENBBN,"San QuintÌn (Ejido Nuevo), B.C.",0
-115.15,32.411111,BC,ENLBN,"Ejido Nuevo LeÛn, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",0
-116.811111,32.101944,BC,LAMBN,"La MisiÛn, B.C.",0
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",0
-114.729444,32.703889,BC,PDMBN,"Presa Derivadora Morelos, B.C.",0
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0.8
-114.85,31.033333,BC,SFLBN,"San Felipe, B.C.",0
-111.658333,25.001389,BCS,CCNBS,"Ciudad ConstituciÛn, B.C.S.",0
-109.9125,22.881944,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0
-113.420833,27.783333,BCS,DORBS,"DÌaz Ordaz, B.C.S.",0
-114.05,27.966667,BCS,GNGBS,"Guerrero Negro, B.C.S.",0
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0
-110.366667,24.15,BCS,LPZBS,"La Paz, B.C.S.",0
-111.341667,26.016667,BCS,LRTBS,"Loreto, B.C.S.",0
-112,26.866667,BCS,MLGBS,"Mulege, B.C.S.",0
-109.983333,24.066667,BCS,PLNBS,"Los Planes, B.C.S.",0
-109.55,23.583333,BCS,RBRBS,"La Ribera, B.C.S.",0
-110.05,23.8,BCS,SANBS,"San Antonio, B.C.S.",0
-109.983333,24.066667,BCS,SARBS,"El Sargento, B.C.S.",0
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",0
-109.708333,23.118889,BCS,SJCBS,"San JosÈ del Cabo, B.C.S.",0
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",0
-109.716667,23.45,BCS,SNTBS,"Santiago, B.C.S.",0
-112.283333,27.3,BCS,SRLBS,"Santa RosalÌa, B.C.S.",0
-110.216667,23.433333,BCS,TSNBS,"Todos Santos, B.C.S.",0
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",118
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",51.8
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",34.4
-91.765278,18.658056,CAMP,CDCCA,"Ciudad del Carmen, Camp. SMN*",70.2
-90.72,19.361667,CAMP,CHMCA,"ChampotÛn, Camp.",10
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",50
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",273.8
-90.507222,19.838611,CAMP,COBCA,"Observatorio de Campeche, Camp.",32.9
-89.723889,19.4625,CAMP,DZILBACHEN,"DzilbachÈn, Camp. SMN*",35.6
-90.741111,18.604444,CAMP,ESCCA,"Esc·rcega, Camp.",160.8
-90.105556,20.184167,CAMP,HECCA,"Hecelchakan, Camp.",140
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",189
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",31.4
-90.221389,19.605833,CAMP,NYXCA,"Noh-YaxchÈ, Camp.",211.5
-90.374167,19.943333,CAMP,PETENES,"Los Petenes, Camp. SMN*",0
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",49
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",162.4
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",130.3
-107.482778,28.481667,CHIH,AGZCH,"Abraham Gonz·lez, Chih.",0
-107.255556,28.771667,CHIH,BACCH,"BachÌniva, Chih.",0
-106.219444,27.446667,CHIH,BOCADELRIO,"Boca del RÌo, Chih. SMN*",0
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",0
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",0
-107.9,27.9,CHIH,BTVCH,"Batovira, Chih.",0
-106.5,29.05,CHIH,C08099,"Majalca, Chih.",0
-108.533333,28.133333,CHIH,C08182,Moris,0
-108.083333,29.216667,CHIH,c08219,"PeÒitas, Chih.",0
-107.7,28.75,CHIH,C08243,"Tejolocachi, Chih.",0
-105.966667,28.7,CHIH,C08270,"La Mesa, Chih.",0
-107.930833,30.376667,CHIH,CAGCH,"Casas Grandes, Chih.",0
-105.171389,27.685556,CHIH,CCOCH,"Ciudad Camargo, Chih.",0
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",2.3
-106.770556,26.229444,CHIH,CHNCH,"Chinat˙, Chih. SMN*",1
-106.167778,28.570556,CHIH,CHUCH,"Chihuahua, Chih.",0
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Ju·rez, Chih.",0
-105.382222,27.576389,CHIH,CLNCH,"Ing. Andrew Weiss, Chih.",5
-108.541667,27.416667,CHIH,CNDCH,"Chinipas, Chih.",0
-105.39,28.1,CHIH,ELBARRIL,"Rancho el Barril, Chih.*",0
-106.119444,28.614722,CHIH,ERECH,"El RejÛn, Chih.",0
-105.628889,28.166111,CHIH,FIMCH,"Francisco I. Madero, Chih.",0
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",0.2
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",0
-107.072778,26.813056,CHIH,GRCCH,"Guerachi, Chih.",0
-108.305,29.133889,CHIH,GUAPOCACFE,"Guapoca, Chih. CFE*",0
-106.966667,26.1,CHIH,GYCCH,"Guadalupe y Calvo, Chih.",0
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",0
-104.912778,27.126667,CHIH,JMNCH,"JimÈnez, Chih.",0
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",0
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",0
-105.28,28.984444,CHIH,LLNCH,"Ing. Luis L. LeÛn, Chih.",0
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",0
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",0
-106.89,28.176944,CHIH,OJOAGUA,"Ojo de Agua, Chih. *",0
-105.254167,26.546389,CHIH,PAGCH,"Pico del ¡guila, Chih.",0
-105.620556,28.165278,CHIH,PFCOIMADERO,"Presa Francisco I. Madero, Chih. SGT*",0
-105.675556,26.917778,CHIH,PRRCH,"Parral, Chih.",20.8
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",0
-106.383333,26.466667,CHIH,RVGCH,"El Vergel, Chih.",1
-107.85,28.95,CHIH,TMCCH,"TemÛsachic, Chih.",0
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",0
-107.916944,27.215556,CHIH,URICH,"Urique, Chih. SMN*",0
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",0
-105.773333,27.99,CHIH,VILLALBA,"Villalba, Chih. SGT*",0
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",0
-108.166667,29.666667,CHIH,YEPCH,"Yepachic, Chih.",0
